A-bomb,Атомная бОмба,ˈeɪbɔm
adventitious,добАвочный,ˌædvenˈtɪʃəs
adventurer,искАтель приключЕний,ədˈventʃərə
adventurer,авантюрИст,ədˈventʃərə
adventuress,искАтельница приключЕний,ədˈventʃərəs
adventuress,авантюрИстка,ədˈventʃərəs
adventurous,безрассУдно смЕлый,ədˈventʃərəs
adventurous,предприИмчивый,ədˈventʃərəs
adventurous,опАсный,ədˈventʃərəs
adverb,нарЕчие,ˈædvə:b
adversary,протИвник,ˈædvəsərɪ
adverse,враждЕбный,ˈædvə:s
adverse,неблагоприЯтный,ˈædvə:s
adverse,лежАщий напрОтив,ˈædvə:s
adversity,напАсти,ədˈvə:sɪtɪ
adversity,неблагоприЯтная обстанОвка,ədˈvə:sɪtɪ
advert,ссылАться,ədˈvə:t
advertence,внимАтельное отношЕние,ədˈvə:təns
advertency,внимАтельное отношЕние,ədˈvə:tənsɪ
advertise,помещАть объявлЕние,ˈædvətaɪz
advertise,искАть по объявлЕнию,ˈædvətaɪz
advertisement,объявлЕние,ədˈvə:tɪsmənt
advertiser,лицО,ˈædvətaɪzə
advertiser,газЕта с объявлЕниями,ˈædvətaɪzə
advice,совЕт,ədˈvaɪs
advice,консультАция,ədˈvaɪs
advisable,благоразУмный,ədˈvaɪzəbl
advisable,рекомендУемый,ədˈvaɪzəbl
advise,совЕтовать,ədˈvaɪz
advise,консультИровать,ədˈvaɪz
advise,извещАть,ədˈvaɪz
adviser,совЕтник,ədˈvaɪzə
advisory,совещАтельный,ədˈvaɪzərɪ
advocacy,защИта,ˈædvəkəsɪ
advocacy,адвокатУра,ˈædvəkəsɪ
advocate,т,ˈædvəkɪt
adynamia,слАбость,ˌædaɪˈneɪmɪə
adz,теслО,ædz
adze,теслО,ædz
aegrotat,спрАвка о болЕзни у отсУтствовавшего на экзАмене студЕнта,i:ˈgrəutæt
Aeneas,ЭнЕй,i:ˈni:æs
aeon,вЕчность,ˈi:ən
aerate,провЕтривать,ˈeɪəreɪt
aerate,газИровать,ˈeɪəreɪt
aerated water,газирОванная водА,ˈeɪəreɪtɪdˌwɔ:tə
aeration,провЕтривание,ˌeɪəˈreɪʃən
aeration,газИрование,ˌeɪəˈreɪʃən
aerie,дом на возвЫшенном уединЁнном мЕсте,ˈɛərɪ
aerie,вЫводок,ˈɛərɪ
aeriform,воздУшный,ˈɛərɪfɔ:m
aeriform,нереАльный,ˈɛərɪfɔ:m
aerify,превращАть в газообрАзное состоЯние,ˈɛərɪfaɪ
aerify,газИровать,ˈɛərɪfaɪ
aerobatics,как,ˈɛərəuˈbætɪks
aerobiology,аэробиолОгия,ˈɛərəubaɪˈɔlədʒɪ
aerobomb,авиабОмба,ˈɛərəubɔm
aerocamera,аэрокАмера,ˌɛərəuˈkæmərə
aerocarrier,авианОсец,ˌɛərəuˈkærɪə
aerodrome,аэродрОм,ˈɛərədrəum
aerodynamic,аэродинамИческий,ˈɛərəudaɪˈnæmɪk
aerodynamical,аэродинамИческий,ˈɛərəudaɪˈnæmɪkəl
aerodynamics,как,ˈɛərəudaɪˈnæmɪks
aerodyne,летАтельный аппарАт тяжелЕе вОздуха,ˈɛərəudaɪn
aeroembolism,кессОнная болЕзнь,ˌɛərəuˈembəlɪzm
aeroengine,авиациОнный двИгатель,ˌɛərəuˈendʒɪn
aerofoil,аэродинамИческая повЕрхность,ˈɛərəfɔɪl
aerogram,радиогрАмма,ˈɛərəugræm
aerogun,авиапУшка,ˈɛərəugʌn
aerojet,воздУшно,ˈɛərəuˈdʒet
aerolite,аэролИт,ˈɛərəulaɪt
aerology,аэролОгия,ɛəˈrɔlədʒɪ
aeromechanics,как,ˌɛərəumɪˈkænɪks
aerometer,аэрОметр,ɛəˈrɔmɪtə
aeronaut,воздухоплАватель,ˈɛərənɔ:t
aeronautic,воздухоплАвательный,ˌɛərəˈnɔ:tɪk
aeronautical,воздухоплАвательный,ˌɛərəˈnɔ:tɪkəl
aeronautics,как,ˌɛərəˈnɔ:tɪks
aeronavigation,аэронавигАция,ˈɛərəˌnævɪˈgeɪʃən
aerophone,звукоусилИтель,ˈɛərəfəun
aerophone,слуховОй аппарАт,ˈɛərəfəun
aerophone,переговОрное устрОйство на самолЁте,ˈɛərəfəun
aeroplane,самолЁт,ˈɛərəpleɪn
aerosol,аэрозОль,ˈɛərəusɔl
aerostat,аэростАт,ˈɛərəustæt
aerostatics,аэростАтика,ˌɛərəuˈstætɪks
aerostatics,воздухоплАвание,ˌɛərəuˈstætɪks
aerostation,воздухоплАвание,ˌɛərəuˈsteɪʃən
aerotechnics,как,ˌɛərəuˈteknɪks
Aesop,ЭзОп,ˈi:sɔp
aesthete,эстЕт,ˈi:sθi:t
aesthetic,эстетИческий,i:sˈθetɪk
aesthetics,как,i:sˈθetɪks
aesthophysiology,физиолОгия Органов чувств,ˈi:sθəuˌfɪzɪˈɔlədʒɪ
aetiology,этиолОгия,ˌi:tɪˈɔlədʒɪ
affability,привЕтливость,ˌæfəˈbɪlɪtɪ
affable,привЕтливый,ˈæfəbl
affair,дЕло чЕсти,əˈfɛə
affair,дуЭль,əˈfɛə
affair,любОвная связь,əˈfɛə
affect,аффЕкт,əˈfekt
affectation,притвОрство,ˌæfekˈteɪʃən
affectation,искУсственность,ˌæfekˈteɪʃən
affection,болЕзнь,əˈfekʃən
affectionate,лЮбящий,əˈfekʃnɪt
affective,эмоционАльный,əˈfektɪv
affiant,свидЕтель,əˈfaɪənt
affidavit,снимАть показАния,ˌæfɪˈdeɪvɪt
affiliate,принимАть в члЕны,əˈfɪlɪeɪt
affiliate,присоединЯть как ф,əˈfɪlɪeɪt
affiliate,Ал,əˈfɪlɪeɪt
affiliate,присоединЯться,əˈfɪlɪeɪt
affiliate,проследИть истОчник,əˈfɪlɪeɪt
affiliated societies,ф,əˈfɪlɪeɪtɪdsəˈsaɪətɪz
affiliated societies,Алы,əˈfɪlɪeɪtɪdsəˈsaɪətɪz
affined,рОдственный,əˈfaɪnd
affinity,свойствО,əˈfɪnɪtɪ
affinity,рОдственность,əˈfɪnɪtɪ
affinity,привлекАтельность,əˈfɪnɪtɪ
affinity,влечЕние,əˈfɪnɪtɪ
affirm,утверждАть,əˈfə:m
affirm,подтверждАть,əˈfə:m
affirmation,утверждЕние,ˌæfə:ˈmeɪʃən
affirmation,подтверждЕние,ˌæfə:ˈmeɪʃən
affixation,аффиксАция,ˌæfɪkˈseɪʃən
afflatus,вдохновЕние,əˈfleɪtəs
afflatus,божЕственное откровЕние,əˈfleɪtəs
afflict,огорчАть,əˈflɪkt
affliction,гОре,əˈflɪkʃən
affliction,огорчЕние,əˈflɪkʃən
affluence,изобИлие,ˈæfluəns
affluence,богАтство,ˈæfluəns
affluence,наплЫв,ˈæfluəns
afflux,прилИв,ˈæflʌks
afford,давАть,əˈfɔ:d
afford,доставлЯть,əˈfɔ:d
afforest,засадИть лЕсом,æˈfɔrɪst
afforestation,лесонасаждЕние,æˌfɔrɪsˈteɪʃən
affranchise,отпускАть на вОлю,əˈfræntʃaɪz
affray,нарушЕние общЕственного спокОйствия,əˈfreɪ
affreightment,фрахтовАние,əˈfreɪtmənt
affricate,аффрикАта,ˈæfrɪkɪt
affusion,обливАние,əˈfju:ʒən
affusion,опускАние в купЕль,əˈfju:ʒən
afghani,афганИ,æfˈgænɪ
afire,в огнЕ,əˈfaɪə
afloat,на водЕ,əˈfləut
afloat,в мОре,əˈfləut
afloat,на слУжбе в воЕнном флОте,əˈfləut
afloat,в,əˈfləut
afloat,в ходУ,əˈfləut
aforecited,вышеприведЁнный,əˈfɔ:ˌsaɪtɪd
aforegoing,предшЕствующий,əˈfɔ:ˌgəuɪŋ
aforenamed,вышенАзванный,əˈfɔ:neɪmd
aforethought,преднамЕренный,əˈfɔ:θɔ:t
Africander,урожЕнец Южной Африки европЕйского происхождения,ˌæfrɪˈkændə
Africaner,урожЕнец Южной Африки европЕйского происхождения,ˌæfrɪˈkænə
Afrikaans,африкАанс,ˌæfrɪˈkɑ:ns
Afrikander,урожЕнец Южной Африки европЕйского происхождения,ˌæfrɪˈkændə
Afrikaner,урожЕнец Южной Африки европЕйского происхождения,ˌæfrɪˈkænə
afrit,афрИт,ˈæfri:t
afterbirth,послЕд,ˈɑ:ftəbə:θ
afterburning,догорАние тОплива,ˈɑ:ftəˌbə:nɪŋ
aftercare,ухОд за выздорАвливающим,ˈɑ:ftəkɛə
aftercrop,вторОй урожАй,ˈɑ:ftəkrɔp
afterdamp,ядовИтая гАзовая смесь,ˈɑ:ftədæmp
aftereffect,послЕдствие,ˈɑ:ftərɪˌfekt
aftergame,попЫтка отыгрАться,ˈɑ:ftəgeɪm
aftergame,срЕдства,ˈɑ:ftəgeɪm
afterglow,вечЕрняя зарЯ,ˈɑ:ftəgləu
afterglow,приЯтное чУвство,ˈɑ:ftəgləu
aftergrass,отАва,ˈɑ:ftəgrɑ:s
afterlife,загрОбная жизнь,ˈɑ:ftəlaɪf
afterlife,вторАя половИна жИзни,ˈɑ:ftəlaɪf
afterlight,прозрЕние,ˈɑ:ftəlaɪt
aftermath,послЕдствия,ˈɑ:ftəmæθ
afternoon,врЕмя пОсле полУдня,ˈɑ:ftəˈnu:n
afterpiece,дивертисмЕнт,ˈɑ:ftəpi:s
aftershock,толчОк пОсле основнОго землетрясЕния,ˈɑ:ftəʃɔk
aftertaste,вкус,ˈɑ:ftəteɪst
afterthought,мысль,ˈɑ:ftəθɔ:t
afterthought,раздУмье,ˈɑ:ftəθɔ:t
agaric,пластИнчатый гриб,ˈægərɪk
agave,агАва,əˈgeɪvɪ
aged,старикИ,eɪdʒd
ageless,нестарЕющий,ˈeɪdʒlɪs
agelong,Очень дОлгий,ˈeɪdʒlɔŋ
agency,агЕнтство,ˈeɪdʒənsɪ
agency,Орган,ˈeɪdʒənsɪ
agency,сИла,ˈeɪdʒənsɪ
agency,срЕдство,ˈeɪdʒənsɪ
agency,дЕйствие,ˈeɪdʒənsɪ
agenda,повЕстка дня,əˈdʒendə
agenda,послЕдовательность оперАций в ЭВМ,əˈdʒendə
agent,дЕятель,ˈeɪdʒənt
agential,относЯщийся к агЕнту,əˈdʒenʃəl
agential,к агЕнтству,əˈdʒenʃəl
ageold,вековОй,ˈeɪdʒˈəuld
agglomeration,накАпливание,əˌglɔməˈreɪʃən
agglutination,склЕивание,əˌglu:tɪˈneɪʃən
agglutinative,склЕивающий,əˈglu:tɪnətɪv
aggrandize,увелИчивать,əˈgrændaɪz
aggrandize,возвелИчивать,əˈgrændaɪz
aggrandize,повышАть,əˈgrændaɪz
aggrandizement,увеличЕние,əˈgrændɪzmənt
aggrandizement,повышЕние,əˈgrændɪzmənt
aggravate,отягчАть,ˈægrəveɪt
aggravation,ухудшЕние,ˌægrəˈveɪʃən
aggregation,собирАние,ˌægrɪˈgeɪʃən
aggregation,агрегАт,ˌægrɪˈgeɪʃən
aggregation,скоплЕние,ˌægrɪˈgeɪʃən
aggression,нападЕние,əˈgreʃən
aggression,агрессИвность,əˈgreʃən
aggressive,нападАющий,əˈgresɪv
aggressive,энергИчный,əˈgresɪv
aggressiveness,агрессИвность,əˈgresɪvnɪs
aggressiveness,вызывАющий Образ дЕйствий,əˈgresɪvnɪs
aggressor,агрЕссор,əˈgresə
aggressor,нападАющая сторонА,əˈgresə
aggrieve,обижАть,əˈgri:v
agile,провОрный,ˈædʒaɪl
agility,провОрство,əˈdʒɪlɪtɪ
agio,Ажио,ˈædʒɪəu
agio,биржевАя игрА,ˈædʒɪəu
agio,ажиотАж,ˈædʒɪəu
agiotage,ажиотАж,ˈædʒətɪdʒ
agiotage,биржевАя игрА,ˈædʒətɪdʒ
agitate,волновАть,ˈædʒɪteɪt
agitate,трястИ,ˈædʒɪteɪt
agitate,перемЕшивать,ˈædʒɪteɪt
agitation,волнЕние,ˌædʒɪˈteɪʃən
agitation,взбАлтывание,ˌædʒɪˈteɪʃən
agitator,агитАтор,ˈædʒɪteɪtə
aglet,аксельбАнт,ˈæglɪt
aglet,металлИческий наконЕчник шнуркА,ˈæglɪt
aglow,пылАющий,əˈgləu
aglow,возбуждЁнный,əˈgləu
agnail,заусЕница,ˈægneɪl
agnation,родствО по отцУ,ægˈneɪʃən
agnosticism,агностицИзм,ægˈnɔstɪsɪzm
agonic,не образУющий углА,əˈgɔnɪk
agonistic,атлетИческий,ˌægəuˈnɪstɪk
agonistic,учАствующий в спортИвном состязАнии,ˌægəuˈnɪstɪk
agonistic,полемИческий,ˌægəuˈnɪstɪk
agonize,агонизИровать,ˈægənaɪz
agonize,мУчить,ˈægənaɪz
agonize,прилагАть отчАянные усИлия,ˈægənaɪz
agony,агОния,ˈægənɪ
agony,мУка,ˈægənɪ
agony,взрыв,ˈægənɪ
agony,сИльная борьбА,ˈægənɪ
agoraphobia,боЯзнь прострАнства,ˌægərəˈfəubɪə
agree,соглашАться,əˈgri:
agree,услАвливаться,əˈgri:
agree,соотвЕтствовать,əˈgri:
agree,быть полЕзным,əˈgri:
agree,приЯтным,əˈgri:
agreement,договОр,əˈgri:mənt
agricultural,сельскохозЯйственный,ˌægrɪˈkʌltʃərəl
agriculture,сЕльское хозЯйство,ˈægrɪkʌltʃə
agriculturist,агронОм,ˌægrɪˈkʌltʃərɪst
agriculturist,земледЕлец,ˌægrɪˈkʌltʃərɪst
agrimony,репЕйник,ˈægrɪmənɪ
agrimotor,трАктор,ˈægrɪˌməutə
agrobiological,агробиологИческий,ˈægrəuˌbaɪəuˈlɔdʒɪkəl
agrobiologist,агробиОлог,ˌægrəubaɪˈɔlədʒɪst
agrobiology,агробиолОгия,ˌægrəubaɪˈɔlədʒɪ
agronomic,агрономИческий,ˌægrəuˈnɔmɪk
agronomical,агрономИческий,ˌægrəuˈnɔmɪkəl
agronomics,как,ˌægrəuˈnɔmɪks
agronomist,агронОм,əgˈrɔnəmɪst
agronomy,сЕльское хозЯйство,əˈgrɔnəmɪ
agrostology,учЕние о трАвах,ˌægrəsˈtɔlədʒɪ
ague,малярИя,ˈeɪgju:
ague-cake,увеличЕние селезЁнки при хронИческой малярИи,ˈeɪgju:keɪk
ague-spleen,малярИйная,ˈeɪgju:spli:n
aguish,малярИйный,ˈeɪgju:ɪʃ
aguish,перемежАющийся,ˈeɪgju:ɪʃ
ahead,вперЁд,əˈhed
aide-memoire,пАмятная запИска,ˌeɪdmeˈmwɑ:
aigrette,султАн,ˈeɪgret
aigrette,бЕлая цАпля,ˈeɪgret
aiguille,гОрный пик,ˈeɪgwi:l
aiguille,иглА,ˈeɪgwi:l
ail,болЕть,eɪl
ail,чУвствовать недомогАние,eɪl
aileron,элерОн,ˈeɪlərɔn
ailment,нездорОвье,ˈeɪlmənt
aimless,бесцЕльный,ˈeɪmlɪs
Air Chief Marshal,глАвный мАршал авиАции,ˈɛəˈtʃi:fˌmɑ:ʃəl
air command,авиациОнное комАндование,ˈɛəkəˈmɑ:nd
Air Commodore,коммодОр авиАции,ˈɛəˈkɔmədɔ:
air crew,экипАж самолЁта,ˈɛəkru:
air crew,дирижАбля,ˈɛəkru:
Air Force,воЕнно,ˈɛəˈfɔ:s
air hardening,воздУшная закАлка,ˈɛəˌhɑ:dnɪŋ
air liner,рЕйсовый самолЁт,ˈɛəˌlaɪnə
air mail,воздУшная пОчта,ˈɛəmeɪl
Air Marshal,мАршал авиАции,ˈɛəˌmɑ:ʃəl
air power,могУщество в вОздухе,ˈɛəˌpauə
air scout,воздУшный развЕдчик,ˈɛəskaut
air sentry,наблюдАтель за вОздухом,ˈɛəˌsentrɪ
air-balloon,воздУшный шар,ˈɛəbəˌlu:n
air-barrage,воздУшное заграждЕние,ˈɛəˌbærɑ:ʒ
air-barrage,зенИтный заградИтельный огОнь,ˈɛəˌbærɑ:ʒ
air-base,авиабАза,ˈɛəbeɪs
air-bed,надувнОй матрАц,ˈɛəbed
air-bladder,плАвательный пузЫрь,ˈɛəˌblædə
air-bladder,воздУшный пузырЁк,ˈɛəˌblædə
air-brake,пневматИческий тОрмоз,ˈɛəbreɪk
air-brick,кирпИч воздУшной сУшки,ˈɛəbrɪk
air-brick,пустотЕлый кирпИч,ˈɛəbrɪk
air-brush,распылИтель крАски,ˈɛəbrʌʃ
air-cell,лЁгочная альвеОла,ˈɛəsel
air-chamber,воздУшная кАмера,ˈɛəˌtʃcɪmbə
air-condition,кондиционИровать,ˈɛəkənˌdɪʃən
air-condition,снабжАть кондиционЕром,ˈɛəkənˌdɪʃən
air-cooled,с воздУшным охлаждЕнием,ˈɛəku:ld
air-cooling,воздУшное охлаждЕние,ˈɛəˌku:lɪŋ
air-cushion,надувнАя подУшка,ˈɛəˌkuʃən
air-driven,пневматИческий,ˈɛəˌdrɪvn
air-engine,авиамотОр,ˈɛərˌendʒɪn
air-exhauster,вытяжнОй вентилЯтор,ˈɛərɪgˌzɔ:stə
air-frame,Остов,ˈɛəfreɪm
air-freighter,грузовОй самолЁт,ˈɛəˌfreɪtə
air-furnace,тОпка с естЕственной тЯгой,ˈɛəˌfə:nɪs
air-gap,зазОр,ˈɛəgæp
air-gas,карбюрИрованный вОздух,ˈɛəgæs
air-gauge,манОметр,ˈɛəgeɪdʒ
air-gun,духовОе ружьЁ,ˈɛəgʌn
air-hammer,пневматИческий мОлот,ˈɛəˌhæmə
air-highway,воздУшная трАсса,ˈɛəˌhaɪweɪ
air-hole,отдУшина,ˈɛəhəul
air-hole,полыньЯ,ˈɛəhəul
air-hostess,стюардЕсса на самолЁте,ˈɛəˌhəustɪs
air-jacket,надувнОй спасАтельный жилЕт,ˈɛəˌdʒækɪt
air-lift,перебрОска по вОздуху,ˈɛəlɪft
air-lock,тАмбур газоубЕжища,ˈɛəlɔk
